palabra_en_ingles,traduccion
Waiter,"Mesero, El Mozo."
Due,"Debido, Oportuno, Esperado, Apto. I had to leave my job due to health reasons. Otro ejemplo The Report is Due Friday (El reporte vence el viernes o se debe para el viernes)."
Slight,"Ligero/a, Pequeño, Escaso."
Interchangebly,Indistintamente.
Departing,"Partiendo, Dejando."
That this,Que esto.
In the fall,En el otoño. Fall por si solo es caída también.
Meeting first thing,Reunión a primera hora.
To book time off,Periodo de ausencia en el trabajo.
Period of absence,periodo de ausencia.
Off sick,de baja por enfermedad // off sick with the flu = Enfermo con la gripe.
Draft,"Borrador, documento, plan preliminar."
Shall,"Deber, tener que // Shall we move on - Seguimos adelante?."
To sum up,"Para resumir, en resumen."
Any further thing,"Alguna cosa diferente (Alguna "" "" adicional), funciona con otras palabras también."
Action items,elementos de acción tareas a realizar.
Might,"Podría, poder."
Sink,"Fregadero, lavadero, hundirse."
The washing up,el lavado.
Vacuum,"vacio, aspirar."
Sweep,barrer (en términos de limpieza).
Mop,fregar.
Broom,escoba.
Wet soapy mop,trapeador humedo y jabonoso.
Rubbish,basura.
House chores,tareas de la casa.
Groceries,comestibles.
Tidied,ordenada/o.
Boilerplate,repetitivo en contexto HTML.
Fetch,buscar.
Wrap,envolver.
Nearly,"cercano, proximo."
Split,"separar, partir, dividir, romper."
Split up,separarse.
Upset,"alterado, decepcionado."
Really upset,Realmente molesto.
Before,Antes.
After,Después.
Engaged,"comprometerse, ocupado llamado."
Statutory,"estutario. Reglamentario, obligatorio."
Taster,Catador.
Boarding school,Internado.
Aware,consciente.
Throb,palpitante.
Revise,revisar.
Dessert,postre.
Cutlery,Cuchilleria.
Pots,Ollas.
Ironing,"Planchar, planchado."
Duster,"plumero, trapo, paño, sacudidor."
Hallway,"pasillo, vestibulo."
Chope,cortar.
Slice,rebanar.
Pepper,pimiento.
Kettle,"pava,tetera, hervidor."
Grill,"poner en la parilla, asar."
Roast,"asar, por largo tiempo."
Oven,horno.
Stir,"Agitar, revolver."
Smooth,"alisado, fluido."
Courgette,Calabacín.
Flakes,"copos, hojas. Etc."
Bake,Hornear.
Garlic,ajo. // Garlic Cloves: Dients de ajo.
Cloves,Clavos de Olor...
Crush,Aplastar.
Simmer,Hervir a fuego lento.
Mince,"Desmenuzar, Picar (US)."
Pour,Verter.
Stew,Guiso.
Toffee,Caramelo.
Oat Milk,Leche de Avena.
Soy Milk,Leche de Soja.
Almond Milk,Leche de Alemendras.
Whisk,"Batidor, Batir."
Grate,Rallar.
Spoil,"Estropear, Arruinar."
Booked,"Completado, Reservado."
Napkins,Servilletas.
Keen,"En, Muy atento."
For Starters,Para empezar.
Main Course,Plato Principal.
